gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Letschin,Amtsfreie Gemeinde,12064,12064274,655369.5,129949.2,98212.6698,129412830.0,417603.1,275,15789.8,98,118.12,3,67641.8,15789.8,83549.72,12.15
Lietzen,Gemeinde,12064,12064288,72321.0,14346.4,11017.0878,17172430.0,890007.0,35,2601.85,8,10.68,0,0.0,2601.85,2612.53,18.14
Lindendorf,Gemeinde,12064,12064290,159058.4,31488.8,24328.3146,37321190.0,809876.8,98,5711.24,56,74.74,2,17019.63,5711.24,22805.61,18.14
Märkische Höhe,Gemeinde,12064,12064303,89746.3,17799.2,13448.5676,22613180.0,697329.9,55,2721.12,18,24.91,0,0.0,2721.12,2746.03,15.29
Müncheberg,Amtsfreie Stadt,12064,12064317,629004.4,124624.8,94721.8173,87976380.0,2543516.6,438,15596.43,160,186.69,2,20616.12,15596.43,36399.24,12.51
Neuenhagen bei Berlin,Amtsfreie Gemeinde,12064,12064336,878573.8,173238.4,132463.2099,10871870.0,263894.1,1385,11918.24,691,821.47,4,7989.28,11918.24,20728.99,6.88
Neuhardenberg,Gemeinde,12064,12064340,281545.3,55790.4,42215.7422,53006120.0,1154648.7,118,8075.66,40,43.98,14,300939.14,8075.66,309058.78,14.47
Neulewin,Gemeinde,12064,12064349,146352.3,28970.0,21947.2568,37594920.0,0.0,77,3320.58,16,23.05,1,505.51,3320.58,3849.14,11.46
Neutrebbin,Gemeinde,12064,12064365,205265.1,40631.2,31608.7039,33973350.0,306932.6,102,5178.22,19,19.88,2,209001.78,5178.22,214199.88,12.74
Oberbarnim,Gemeinde,12064,12064370,164323.8,32506.8,24337.5003,35089900.0,1029564.4,171,3862.86,64,73.76,2,61151.15,3862.86,65087.77,11.88
Oderaue,Gemeinde,12064,12064371,288654.4,57188.4,43522.4472,60579150.0,345.5,163,10434.26,38,51.03,1,1700.06,10434.26,12185.35,18.25
Petershagen/Eggersdorf,Amtsfreie Gemeinde,12064,12064380,713056.4,140354.8,104542.7412,7567160.0,36564.2,1157,10211.62,523,635.6,1,2.5,10211.62,10849.72,7.28
Podelzig,Gemeinde,12064,12064388,88360.9,17447.2,13253.2981,21590110.0,667052.0,72,1767.24,36,45.5,0,0.0,1767.24,1812.74,10.13
Prötzel,Gemeinde,12064,12064393,143190.7,28361.6,21295.0721,41782280.0,1011020.2,80,3143.86,22,21.54,3,10445.36,3143.86,13610.76,11.08
Rehfelde,Gemeinde,12064,12064408,373576.9,73811.2,54864.0629,37315610.0,1150316.7,444,5905.73,206,249.36,1,675.62,5905.73,6830.71,8.0
Reichenow-Möglin,Gemeinde,12064,12064417,69856.7,13831.2,10566.3441,19419740.0,1250476.8,54,1542.26,13,13.44,5,15305.58,1542.26,16861.28,11.15
Reitwein,Gemeinde,12064,12064420,50053.8,9889.2,7484.1899,19245090.0,15857.0,39,2254.75,26,25.87,0,0.0,2254.75,2280.62,22.8
Rüdersdorf bei Berlin,Amtsfreie Gemeinde,12064,12064428,1037870.4,205746.4,160070.5881,36996020.0,1308531.8,643,13560.21,376,440.11,8,14516.96,13560.21,28517.28,6.59
Seelow,Amtsfreie Stadt,12064,12064448,416137.7,82456.4,64025.0023,38500100.0,898687.2,257,10687.14,94,117.54,5,15954.72,10687.14,26759.4,12.96
Strausberg,Amtsfreie Stadt,12064,12064472,1077812.4,213620.8,166421.7768,35375430.0,692848.8,815,10406.1,381,431.88,0,0.0,10406.1,10837.98,4.87
Treplin,Gemeinde,12064,12064480,38336.7,7588.4,5618.5492,5761710.0,213321.1,44,532.54,13,15.71,0,0.0,532.54,548.25,7.02
Vierlinden,Gemeinde,12064,12064482,210332.3,41717.6,31388.7528,51402540.0,2232882.0,125,3827.52,49,60.72,5,114674.12,3827.52,118562.36,9.17
Waldsieversdorf,Gemeinde,12064,12064484,69886.7,13837.2,10394.4175,5510970.0,0.0,46,451.2,19,27.22,0,0.0,451.2,478.42,3.26
Wriezen,Amtsfreie Stadt,12064,12064512,634148.4,125588.8,97617.0661,72517820.0,2135801.1,362,19849.45,95,122.0,18,59763.89,19849.45,79735.34,15.81
Zechin,Gemeinde,12064,12064538,86432.4,17075.6,13029.1727,25946370.0,7314.5,56,2343.01,21,24.27,0,0.0,2343.01,2367.28,13.72
Zeschdorf,Gemeinde,12064,12064539,127237.7,25162,19113.5121,25904370.0,1447492.2,110,1882.28,43,55.45,5,69867.27,1882.28,71805.0,7.48
Birkenwerder,Amtsfreie Gemeinde,12065,12065036,334057.7,65884.0,49058.6211,6582000.0,6137.3,567,4916.93,276,328.5,1,9.6,4916.93,5255.03,7.46
Fürstenberg/Havel,Amtsfreie Stadt,12065,12065084,524031.1,103509.6,76213.8394,91251620.0,12663.6,287,4876.21,168,206.82,2,3197.7,4876.21,8280.73,4.71
Glienicke/Nordbahn,Amtsfreie Gemeinde,12065,12065096,289992.8,57166.8,41907.3437,292490.0,0.0,490,4191.86,241,259.71,0,0.0,4191.86,4451.57,7.33
Gransee,Stadt,12065,12065100,577649.3,114478.4,86576.2337,89916370.0,2124918.9,254,14931.01,144,179.43,1,3228.9,14931.01,18339.34,13.04
Großwoltersdorf,Gemeinde,12065,12065117,113914.0,22571.6,16641.0154,27984530.0,335.5,55,2155.2,26,29.28,1,5479.65,2155.2,7664.13,9.55
Hennigsdorf,Amtsfreie Stadt,12065,12065136,1095268.7,217637.6,172129.6107,14069240.0,21273.6,565,8256.46,317,347.97,0,0.0,8256.46,8604.43,3.79
Hohen Neuendorf,Amtsfreie Stadt,12065,12065144,935324.3,184344.4,136683.7271,30831840.0,109142.6,1726,16465.7,688,776.4,0,0.0,16465.7,17242.1,8.93
Kremmen,Amtsfreie Stadt,12065,12065165,691856.1,137022.4,104479.9229,150450420.0,2826190.8,499,8716.31,202,231.51,4,9104.6,8716.31,18052.42,6.36
Leegebruch,Amtsfreie Gemeinde,12065,12065180,310379.2,61100.0,45892.8874,4077630.0,90177.8,407,3330.8,272,311.82,0,0.0,3330.8,3642.62,5.45
Liebenwalde,Amtsfreie Stadt,12065,12065193,461144.5,91369.2,68164.5253,93476320.0,130763.6,222,11094.26,102,113.74,1,99.75,11094.26,11307.75,12.14
Löwenberger Land,Amtsfreie Gemeinde,12065,12065198,837009.4,165678.0,123832.7425,164077010.0,2062514.1,619,14260.66,274,318.85,5,76293.3,14260.66,90872.81,8.61
Mühlenbecker Land,Amtsfreie Gemeinde,12065,12065225,683489.5,134761.6,100220.2527,27474140.0,40021.8,1145,12193.06,454,533.33,2,3580.97,12193.06,16307.36,9.05
Oberkrämer,Amtsfreie Gemeinde,12065,12065251,921857.0,182552.8,140915.9498,63730660.0,1560933.0,1080,21627.17,398,464.34,2,5095.02,21627.17,27186.53,11.85
Oranienburg,Amtsfreie Stadt,12065,12065256,2447302.2,484263.6,372748.3151,86617920.0,1192384.6,2015,31215.25,1167,1390.04,6,43979.42,31215.25,76584.71,6.45
Schönermark,Gemeinde,12065,12065276,46346.9,9192.4,6868.2059,9353310.0,450381.2,25,1287.13,6,4.91,1,750.0,1287.13,2042.04,14.0
Sonnenberg,Gemeinde,12065,12065301,120973.1,23964.8,17812.4336,41466740.0,1491538.9,51,1527.57,19,21.72,0,0.0,1527.57,1549.29,6.37
Stechlin,Gemeinde,12065,12065310,115425.8,22819.2,16791.7438,16047890.0,0.0,62,1338.54,47,54.22,0,0.0,1338.54,1392.76,5.87
Velten,Amtsfreie Stadt,12065,12065332,698177.9,138571.6,108356.7798,17913790.0,245307.5,408,7505.67,214,243.93,0,0.0,7505.67,7749.6,5.42
Zehdenick,Amtsfreie Stadt,12065,12065356,1177078.5,233068.4,176726.2806,158602000.0,2891977.5,559,17770.45,292,369.93,7,51884.46,17770.45,70024.84,7.62
Altdöbern,Gemeinde,12066,12066008,190558.1,37624.0,28223.5048,19270600.0,119014.2,170,2358.79,35,41.82,2,9999.96,2358.79,12400.57,6.27
Bronkow,Gemeinde,12066,12066041,113821.1,22535.6,16962.2257,26979350.0,1050243.8,69,3977.34,19,22.55,0,0.0,3977.34,3999.89,17.65
Calau,Amtsfreie Stadt,12066,12066052,704667.6,139212.0,106334.345,85958050.0,1435728.8,550,13546.11,179,195.75,5,37778.24,13546.11,51520.1,9.73
Frauendorf,Gemeinde,12066,12066064,67489.8,13317.6,10436.6983,6877980.0,0.0,50,1243.68,25,26.32,8,14681.98,1243.68,15951.98,9.34
Großkmehlen,Gemeinde,12066,12066104,124429.1,24597.6,18561.3269,11209020.0,16.4,88,1549.93,26,33.39,0,0.0,1549.93,1583.32,6.3
Großräschen,Amtsfreie Stadt,12066,12066112,704514.3,139416.4,108567.3077,45437640.0,1721162.5,490,12435.25,152,171.12,20,34242.69,12435.25,46849.06,8.92
Grünewald,Gemeinde,12066,12066116,47867.1,9437.6,7040.1413,6574340.0,0.0,31,298.25,21,28.64,0,0.0,298.25,326.89,3.16
Guteborn,Gemeinde,12066,12066120,49183.4,9697.2,7385.9657,3519870.0,0.0,43,409.79,15,18.97,0,0.0,409.79,428.76,4.23
Hermsdorf,Gemeinde,12066,12066124,82218.3,16231.2,12207.8501,9093740.0,0.0,53,2643.73,14,17.95,0,0.0,2643.73,2661.68,16.29
Hohenbocka,Gemeinde,12066,12066132,76079.4,14964.8,11432.335,6853570.0,527.3,75,1063.36,33,40.19,0,0.0,1063.36,1103.55,7.11
Kroppen,Gemeinde,12066,12066168,61828.4,12208,9033.3121,8562620.0,0.0,50,469.16,23,30.56,0,0.0,469.16,499.72,3.84
Lauchhammer,Amtsfreie Stadt,12066,12066176,1159655.7,228963.6,176752.0585,30420280.0,170105.4,760,14086.0,397,455.87,6,7200.02,14086.0,21741.89,6.15
Lindenau,Gemeinde,12066,12066188,61230.5,12075.2,9077.3239,7637030.0,0.0,67,1127.54,23,30.82,1,2727.34,1127.54,3885.7,9.34
Lübbenau/Spreewald,Amtsfreie Stadt,12066,12066196,1108513.9,219420.0,172076.41,87900480.0,1529860.5,707,16468.63,271,323.83,2,120.14,16468.63,16912.6,7.51
Luckaitztal,Gemeinde,12066,12066202,125295.3,24761.6,18861.7972,24313290.0,244450.0,85,2117.08,19,20.74,2,12785.9,2117.08,14923.72,8.55
Neu-Seeland,Gemeinde,12066,12066226,95203.6,18832.8,13722.9261,21872500.0,951864.3,56,2117.4,17,21.24,7,35953.78,2117.4,38092.42,11.24
Neupetershain,Gemeinde,12066,12066228,101229.6,19962.8,15010.4969,9553750.0,347965.2,69,628.12,41,52.65,4,33205.72,628.12,33886.49,3.15
Ortrand,Stadt,12066,12066240,182955.8,36162.8,28037.8401,6307020.0,0.0,135,1878.4,38,46.81,0,0.0,1878.4,1925.21,5.19
Ruhland,Stadt,12066,12066272,270949.7,53443.2,40491.8945,21954280.0,0.0,245,2806.02,99,113.48,3,5199.72,2806.02,8119.22,5.25
Schipkau,Amtsfreie Gemeinde,12066,12066285,483626.8,95479.6,72558.911,24044310.0,712982.6,269,3426.79,198,235.97,15,231330.4,3426.79,234993.16,3.59
Schwarzbach,Gemeinde,12066,12066292,65807.2,12998.8,9767.7641,10562600.0,1540.0,51,429.23,19,16.14,0,0.0,429.23,445.37,3.3
Schwarzheide,Amtsfreie Stadt,12066,12066296,509728.4,101020.8,78865.2555,18578840.0,106315.5,322,7240.28,135,148.95,3,43639.51,7240.28,51028.74,7.17
Senftenberg,Amtsfreie Stadt,12066,12066304,1320144.2,261120.8,203369.0988,53213420.0,981837.8,847,14028.33,340,369.12,20,155123.87,14028.33,169521.32,5.37
Tettau,Gemeinde,12066,12066316,78576.1,15526,11702.3023,5546600.0,818.3,59,1721.42,22,26.81,1,1166.9,1721.42,2915.13,11.09
Vetschau/Spreewald,Amtsfreie Stadt,12066,12066320,837913.9,165976.4,128242.6508,74771160.0,1631156.5,584,18624.33,144,154.26,16,31204.39,18624.33,49982.98,11.22
Bad Saarow,Gemeinde,12067,12067024,355161.1,70068.4,51703.8526,17808450.0,3870.9,336,4338.11,129,157.85,3,6117.5,4338.11,10613.46,6.19
Beeskow,Amtsfreie Stadt,12067,12067036,684594.6,135747.6,104388.8786,53557470.0,2368858.7,429,17401.5,165,200.32,8,5340.84,17401.5,22942.66,12.82
Berkenbrück,Gemeinde,12067,12067040,68392.3,13376.8,10197.0565,8463740.0,39390.9,83,714.29,39,45.86,6,1499.52,714.29,2259.67,5.34
Briesen (Mark),Gemeinde,12067,12067072,257951.6,50989.6,38377.1381,60053590.0,1781072.6,191,5374.37,109,132.21,1,913.1,5374.37,6419.68,10.54
Brieskow-Finkenheerd,Gemeinde,12067,12067076,186185.4,36796.0,28214.053,7113320.0,32576.9,191,3767.21,86,98.46,2,143.92,3767.21,4009.59,10.24
Diensdorf-Radlow,Gemeinde,12067,12067112,39741.3,7808.4,5677.927,3998910.0,106.4,43,312.42,11,12.65,0,0.0,312.42,325.07,4.0
Eisenhüttenstadt,Amtsfreie Stadt,12067,12067120,1741580.5,346368.8,276145.9309,34540540.0,347658.0,570,14914.51,322,365.31,4,8178.2,14914.51,23458.02,4.31
Erkner,Amtsfreie Stadt,12067,12067124,442516.3,87515.2,67859.3451,9228400.0,1226.7,477,4804.24,184,218.94,0,0.0,4804.24,5023.18,5.49
Friedland,Amtsfreie Stadt,12067,12067137,484094.8,95958.0,71289.1474,89515500.0,4070832.4,338,11713.1,94,111.45,0,0.0,11713.1,11824.55,12.21
Fürstenwalde/Spree,Amtsfreie Stadt,12067,12067144,1699458.1,336296.0,262432.2089,42945230.0,939134.3,1008,18904.54,581,696.98,17,70163.3,18904.54,89764.82,5.62
Gosen-Neu Zittau,Gemeinde,12067,12067173,231575.8,45784.4,35955.4833,5622010.0,0.0,205,1626.91,91,105.94,0,0.0,1626.91,1732.85,3.55
Groß Lindow,Gemeinde,12067,12067180,103149.7,20290.8,15502.3907,2554210.0,25859.1,108,828.24,57,65.07,0,0.0,828.24,893.31,4.08
Grünheide (Mark),Amtsfreie Gemeinde,12067,12067201,698117.7,138079.6,108013.5331,29925790.0,147603.9,550,30916.7,250,294.11,1,976.43,30916.7,32187.24,22.39
Grunow-Dammendorf,Gemeinde,12067,12067205,56831.8,11254.8,8410.4698,10762830.0,150874.9,53,1002.71,18,25.48,0,0.0,1002.71,1028.19,8.91
Jacobsdorf,Gemeinde,12067,12067237,191618.7,37994.8,29081.1815,39757570.0,1657716.6,146,4892.5,55,65.28,1,4791.15,4892.5,9748.93,12.88
Langewahl,Gemeinde,12067,12067288,53895.3,10569.6,8195.1002,6035820.0,55392.3,44,310.27,43,47.51,0,0.0,310.27,357.78,2.94
Lawitz,Gemeinde,12067,12067292,45933.0,9056.4,6938.6156,3940680.0,101631.7,44,341.04,28,31.68,1,237.6,341.04,610.32,3.77
Mixdorf,Gemeinde,12067,12067324,57544.9,11366.0,8520.5403,7648540.0,257796.4,118,1455.45,50,53.3,4,24163.92,1455.45,25672.67,12.81
Müllrose,Stadt,12067,12067336,287450.6,56825.2,43489.0338,31311390.0,487483.6,322,5443.61,161,188.7,0,0.0,5443.61,5632.31,9.58
Neißemünde,Gemeinde,12067,12067338,208887.3,41364.4,31074.3076,33902140.0,1062514.2,160,3225.38,39,47.69,0,0.0,3225.38,3273.07,7.8
Neuzelle,Gemeinde,12067,12067357,433253.9,85828.4,65178.0184,62272250.0,2127861.7,352,12187.64,149,157.2,0,0.0,12187.64,12344.84,14.2
Ragow-Merz,Gemeinde,12067,12067397,48426.8,9583.6,7259.5397,12225480.0,758154.6,54,572.3,9,8.12,0,0.0,572.3,580.42,5.97
Rauen,Gemeinde,12067,12067408,115504.1,22643.6,16990.8137,9800210.0,219042.4,154,2266.8,83,89.37,0,0.0,2266.8,2356.17,10.01
Reichenwalde,Gemeinde,12067,12067413,123504.1,24329.2,18293.3306,9873230.0,85744.5,128,2334.78,33,39.1,1,6612.5,2334.78,8986.38,9.6
Rietz-Neuendorf,Amtsfreie Gemeinde,12067,12067426,504881.7,99735.6,74385.698,99625340.0,3958861.5,358,11811.75,108,129.63,2,2170.22,11811.75,14111.6,11.84
Schlaubetal,Gemeinde,12067,12067438,143110.1,28311.6,21786.5863,15305920.0,656596.4,174,4797.45,79,96.84,0,0.0,4797.45,4894.29,16.95
Schöneiche bei Berlin,Amtsfreie Gemeinde,12067,12067440,579730.6,114378,85965.2606,7823990.0,360151.3,859,9542.33,381,424.05,1,1341.12,9542.33,11307.5,8.34
Siehdichum,Gemeinde,12067,12067458,111905.1,22115.2,17032.491,11135210.0,115064.5,123,1751.66,80,93.57,0,0.0,1751.66,1845.23,7.92
Spreenhagen,Gemeinde,12067,12067469,372450.3,73691.2,55888.1263,64166290.0,492236.6,272,10199.17,118,144.74,0,0.0,10199.17,10343.91,13.84
Steinhöfel,Gemeinde,12067,12067473,497188.2,98475.2,74784.9063,117697350.0,6691514.9,272,11247.83,125,161.89,7,6678.35,11247.83,18088.07,11.42
Storkow (Mark),Amtsfreie Stadt,12067,12067481,704648.3,139183.2,104692.9946,79839920.0,38690.2,550,14209.41,243,310.77,5,2764.15,14209.41,17284.33,10.21
Tauche,Amtsfreie Gemeinde,12067,12067493,503152.0,99681.2,73774.8801,78228670.0,3631990.4,336,14478.81,110,126.76,2,1935.14,14478.81,16540.71,14.53
Vogelsang,Gemeinde,12067,12067508,59276.8,11688.8,9235.5826,3500730.0,70541.8,40,382.71,45,52.0,0,0.0,382.71,434.71,3.27
Wendisch Rietz,Gemeinde,12067,12067520,103053.8,20242,14853.5487,17712660.0,27951.4,159,1460.8,54,60.01,0,0.0,1460.8,1520.81,7.22
Wiesenau,Gemeinde,12067,12067528,164020.3,32518,24511.9293,22142140.0,62352.7,116,9654.58,42,42.22,0,0.0,9654.58,9696.8,29.69
Woltersdorf,Amtsfreie Gemeinde,12067,12067544,373217.9,73589.6,54652.4309,1021150.0,3369.9,617,6593.02,256,291.75,0,0.0,6593.02,6884.77,8.96
Ziltendorf,Gemeinde,12067,12067552,124440.5,24579.2,18945.6613,24005730.0,4137.3,107,1412.77,37,44.93,0,0.0,1412.77,1457.7,5.75
Breddin,Gemeinde,12068,12068052,128526.5,25483.2,18803.4079,31375760.0,481106.1,61,2229.87,25,32.63,1,5637.6,2229.87,7900.1,8.75
Dabergotz,Gemeinde,12068,12068072,62754.6,12426.0,9361.9718,11839630.0,804051.5,42,2279.51,19,19.43,1,373.7,2279.51,2672.64,18.34
Dreetz,Gemeinde,12068,12068109,164088.9,32526.8,24235.3206,44120270.0,0.0,96,6324.58,35,35.53,2,461.66,6324.58,6821.77,19.44
Fehrbellin,Amtsfreie Gemeinde,12068,12068117,1010342.5,200328.4,153005.6834,238187370.0,3343869.0,559,29919.95,224,272.62,5,4944.66,29919.95,35137.23,14.94
Heiligengrabe,Amtsfreie Gemeinde,12068,12068181,750247.8,149034.4,115661.5213,147359730.0,6840907.6,299,15347.34,112,128.46,31,67598.86,15347.34,83074.66,10.3
Herzberg (Mark),Gemeinde,12068,12068188,68109.5,13491.2,10068.4674,15727770.0,877635.6,55,704.6,18,20.65,3,1421.14,704.6,2146.39,5.22
Kyritz,Amtsfreie Stadt,12068,12068264,806494.6,159834.0,120080.2509,102881270.0,5189014.6,405,18268.86,136,158.33,3,5690.64,18268.86,24117.83,11.43
Lindow (Mark),Stadt,12068,12068280,277823.1,54881.6,40858.9733,36563220.0,1524551.6,157,2718.83,69,79.28,2,26213.81,2718.83,29011.92,4.95
Märkisch Linden,Gemeinde,12068,12068306,207806.3,41284.8,32095.4012,39194190.0,2181770.6,98,4905.06,42,53.54,10,15881.2,4905.06,20839.8,11.88
Neuruppin,Amtsfreie Stadt,12068,12068320,1853628.9,367394.8,283834.923,161735040.0,5051011.9,1153,27410.13,422,466.4,13,23085.47,27410.13,51457.79,7.46
Neustadt (Dosse),Stadt,12068,12068324,362324.0,71832.0,54024.4418,58460300.0,622144.0,226,8252.56,62,72.47,19,96957.33,8252.56,105282.36,11.49
Rheinsberg,Amtsfreie Stadt,12068,12068353,814262.8,161120.4,119899.7272,143499560.0,1222935.5,457,10475.0,245,282.74,5,1251.34,10475.0,12009.08,6.5
Rüthnick,Gemeinde,12068,12068372,50305.0,9951.2,7180.8142,13540670.0,664721.8,44,739.9,16,19.7,0,0.0,739.9,759.6,7.44
Sieversdorf-Hohenofen,Gemeinde,12068,12068409,103966.6,20589.2,15125.1103,17908100.0,0.0,36,2283.51,15,16.51,0,0.0,2283.51,2300.02,11.09
Storbeck-Frankendorf,Gemeinde,12068,12068413,48294.9,9542.4,7244.6588,35640400.0,232463.0,39,397.08,19,25.31,0,0.0,397.08,422.39,4.16
Stüdenitz-Schönermark,Gemeinde,12068,12068417,96919.4,19222,14725.7339,21638970.0,612361.5,57,2680.56,8,7.82,5,90533.42,2680.56,93221.8,13.95
Temnitzquell,Gemeinde,12068,12068425,122212.6,24277.6,17837.7571,36325390.0,1130520.3,44,1459.73,32,33.66,0,0.0,1459.73,1493.39,6.01
Temnitztal,Gemeinde,12068,12068426,164580.5,32580.4,24266.7384,50394370.0,2426327.4,93,1627.26,19,18.3,2,83030.13,1627.26,84675.69,4.99
Vielitzsee,Gemeinde,12068,12068437,63543.1,12581.6,9264.9072,12500190.0,307163.6,35,348.91,8,9.22,0,0.0,348.91,358.13,2.77
Walsleben,Gemeinde,12068,12068452,94428.6,18740,14127.1857,22146330.0,815769.0,53,1606.84,27,32.12,1,3703.68,1606.84,5342.64,8.57
Wittstock/Dosse,Amtsfreie Stadt,12068,12068468,1486165.2,294867.6,226956.7681,287256540.0,9143913.9,609,21716.51,249,277.49,13,68103.02,21716.51,90097.02,7.36
Wusterhausen/Dosse,Amtsfreie Gemeinde,12068,12068477,690686.6,136864.4,102077.4246,151510560.0,5443993.1,376,14460.96,112,136.85,3,7418.52,14460.96,22016.33,10.57
Zernitz-Lohm,Gemeinde,12068,12068501,99822.6,19769.2,14846.0312,32447450.0,188615.2,60,1458.28,16,19.34,2,19499.27,1458.28,20976.89,7.38
Beelitz,Amtsfreie Stadt,12069,12069017,979080.7,193869.2,145383.6852,112826710.0,356642.5,848,15996.01,328,399.75,1,3.0,15996.01,16398.76,8.25
Beetzsee,Gemeinde,12069,12069018,219775.8,43438.0,32988.3029,15623760.0,0.0,317,5569.69,114,146.5,0,0.0,5569.69,5716.19,12.82
Beetzseeheide,Gemeinde,12069,12069019,79019.5,15638.4,11761.0892,26180040.0,0.0,55,949.14,21,24.29,0,0.0,949.14,973.43,6.07
Bad Belzig,Amtsfreie Stadt,12069,12069020,987446.2,195637.2,148225.8493,118742110.0,49289.6,869,24203.14,209,235.62,1,748.0,24203.14,25186.76,12.37
Bensdorf,Gemeinde,12069,12069028,125120.0,24718.4,18751.0243,20406670.0,997102.0,115,1730.82,46,56.09,0,0.0,1730.82,1786.91,7.0
Borkheide,Gemeinde,12069,12069052,119083.9,23556.0,17085.809,1561270.0,181.8,223,2882.89,81,104.7,0,0.0,2882.89,2987.59,12.24
Borkwalde,Gemeinde,12069,12069056,56161.9,11056.8,7723.7112,984370.0,0.0,187,1632.56,74,82.99,0,0.0,1632.56,1715.55,14.77
Brück,Stadt,12069,12069076,533526.5,105882.0,82039.243,65505440.0,866416.1,332,10315.75,103,120.54,1,4181.4,10315.75,14617.69,9.74
Buckautal,Gemeinde,12069,12069089,101189.6,20053.2,14986.0144,27668130.0,111354.1,62,1834.61,9,10.15,4,1501.98,1834.61,3346.74,9.15
Golzow,Gemeinde,12069,12069216,194708.4,38594.0,29359.8925,26679770.0,920866.4,125,4687.4,32,39.31,1,749.55,4687.4,5476.26,12.15
Görzke,Gemeinde,12069,12069224,148457.0,29371.2,22428.3044,42940720.0,0.0,125,3123.74,20,21.65,0,0.0,3123.74,3145.39,10.64
Gräben,Gemeinde,12069,12069232,61146.0,12089.6,9078.0883,11696640.0,0.0,65,1298.67,18,19.6,0,0.0,1298.67,1318.27,10.74
Groß Kreutz (Havel),Amtsfreie Gemeinde,12069,12069249,770385.5,152486.8,115759.5706,76124820.0,1009107.0,683,14355.29,299,341.39,8,29667.4,14355.29,44364.08,9.41
Havelsee,Stadt,12069,12069270,278103.8,54918.0,41388.6916,43850670.0,191142.1,198,2757.84,109,128.13,6,34104.82,2757.84,36990.79,5.02
Kleinmachnow,Amtsfreie Gemeinde,12069,12069304,535168.0,105893.6,78190.15,2956820.0,1704.5,1063,9142.98,283,328.09,0,0.0,9142.98,9471.07,8.63
Kloster Lehnin,Amtsfreie Gemeinde,12069,12069306,1137018.9,224975.6,173341.0601,136693490.0,3569530.7,877,22231.55,302,363.44,13,74257.49,22231.55,96852.48,9.88
Linthe,Gemeinde,12069,12069345,183840.0,36578.0,29181.0911,21633090.0,551116.5,119,7528.46,16,18.14,2,4650.74,7528.46,12197.34,20.58
Michendorf,Amtsfreie Gemeinde,12069,12069397,617209.5,121846.8,90033.2979,39268900.0,4984.5,1004,10520.32,361,430.0,0,0.0,10520.32,10950.32,8.63
Mühlenfließ,Gemeinde,12069,12069402,188403.2,37346.0,28495.2366,39911670.0,830842.2,144,5383.78,9,13.56,0,0.0,5383.78,5397.34,14.42
Niemegk,Stadt,12069,12069448,262204.9,51917.6,39999.7763,27841520.0,135341.7,175,5455.06,46,53.46,2,2015.25,5455.06,7523.77,10.51
Nuthetal,Amtsfreie Gemeinde,12069,12069454,409052.8,80904.0,60448.4574,36816360.0,1043.6,585,5657.32,235,247.59,3,13.0,5657.32,5917.91,6.99
Päwesin,Gemeinde,12069,12069460,63515.8,12581.2,9426.8448,12561220.0,0.0,50,880.76,21,23.98,0,0.0,880.76,904.74,7.0
Planebruch,Gemeinde,12069,12069470,155519.1,30768.0,23408.7071,48992960.0,121783.6,106,1825.49,26,35.59,1,45.9,1825.49,1906.98,5.93
Planetal,Gemeinde,12069,12069474,191148.8,37934.4,28756.8729,32364280.0,228268.8,120,7004.55,18,16.0,0,0.0,7004.55,7020.55,18.46
Rabenstein/Fläming,Gemeinde,12069,12069485,159682.3,31624.8,23392.4309,45297030.0,7.7,100,3080.89,15,15.96,0,0.0,3080.89,3096.85,9.74
Rosenau,Gemeinde,12069,12069537,168104.8,33352.0,24938.2651,36806280.0,501851.3,70,4178.99,30,38.04,0,0.0,4178.99,4217.03,12.53
Roskow,Gemeinde,12069,12069541,148012.3,29343.6,22019.5119,34532370.0,4794.5,92,2806.28,18,22.39,0,0.0,2806.28,2828.67,9.56
Schwielowsee,Amtsfreie Gemeinde,12069,12069590,558850.9,110296.8,82079.8451,24495490.0,134670.0,711,6325.87,298,349.1,1,3.6,6325.87,6678.57,5.74
Seddiner See,Amtsfreie Gemeinde,12069,12069596,240442.0,47658.8,36789.3124,9150260.0,98.2,233,2882.72,88,97.84,0,0.0,2882.72,2980.56,6.05
Stahnsdorf,Amtsfreie Gemeinde,12069,12069604,720913.1,142711.2,108445.9968,33026270.0,820421.5,1295,12627.09,319,367.72,0,0.0,12627.09,12994.81,8.85
Teltow,Amtsfreie Stadt,12069,12069616,959676.7,189853.6,146541.3697,13809130.0,280636.8,1481,15139.3,556,611.39,2,300.0,15139.3,16050.69,7.97
Treuenbrietzen,Amtsfreie Stadt,12069,12069632,841831.4,166702.0,125532.7217,128452450.0,2897546.1,528,10294.27,148,176.78,6,16914.36,10294.27,27385.41,6.18
Wenzlow,Gemeinde,12069,12069648,86709.3,17153.2,12498.829,13925040.0,112603.7,46,1190.48,20,20.47,0,0.0,1190.48,1210.95,6.94
