gemeinde_name,gemeinde_typ,landkreis_schluessel,gemeinde_schluessel,dach_flaeche_qm,dach_leistung_amtlich_kwp,dach_menge_amtlich_mwh,frei_flaeche_qm,frei_leistung_amtlich_kwp,bestand_csv_dach_anzahl,bestand_csv_dach_kwp,bestand_csv_balkon_anzahl,bestand_csv_balkon_kwp,bestand_csv_frei_anzahl,bestand_csv_frei_kwp,bestand_dach_kwp_gesamt,bestand_gesamt_kwp,ausschoepfung_dach_prozent
Bersteland,Gemeinde,12061,12061017,137603,27266.4,20660.0112,22247350.0,731927.4,83,3734.84,17,17.53,1,671.34,3734.84,4423.71,13.7
Bestensee,Amtsfreie Gemeinde,12061,12061020,469328.5,92752.0,69533.0648,17587340.0,65792.9,637,10582.07,237,275.86,0,0.0,10582.07,10857.93,11.41
Byhleguhre-Byhlen,Gemeinde,12061,12061061,91698.6,18059.2,13569.466,29303590.0,0.0,85,2280.33,16,16.04,0,0.0,2280.33,2296.37,12.63
Drahnsdorf,Gemeinde,12061,12061097,92141.7,18248.8,14089.5616,17459630.0,666498.8,66,3087.36,18,26.02,0,0.0,3087.36,3113.38,16.92
Eichwalde,Amtsfreie Gemeinde,12061,12061112,203180.4,39986.0,29327.7179,1177590.0,0.0,299,2504.19,146,161.12,1,90.88,2504.19,2756.19,6.26
Golßen,Stadt,12061,12061164,360164.1,71456.8,55381.5735,43815820.0,1828738.7,163,5787.78,56,64.0,2,4509.64,5787.78,10361.42,8.1
Groß Köris,Gemeinde,12061,12061192,183307.3,36082.8,26551.0653,37722990.0,0.0,202,3169.23,89,101.41,4,26067.76,3169.23,29338.4,8.78
Halbe,Gemeinde,12061,12061216,308388.5,61113.2,46873.158,41213320.0,21509.1,178,4274.82,72,78.6,0,0.0,4274.82,4353.42,6.99
Heidesee,Amtsfreie Gemeinde,12061,12061217,587152.6,115828.8,85906.7144,56996180.0,623472.5,567,8361.49,290,324.05,1,15.12,8361.49,8700.66,7.22
Heideblick,Amtsfreie Gemeinde,12061,12061219,496416.1,98128.0,73820.3234,89380800.0,355685.6,237,9649.44,72,84.11,11,80843.05,9649.44,90576.6,9.83
Jamlitz,Gemeinde,12061,12061224,62609.9,12367.6,9268.2307,22254660.0,286085.7,38,538.28,12,9.76,1,30.0,538.28,578.04,4.35
Kasel-Golzig,Gemeinde,12061,12061244,102413.4,20285.2,15192.6194,19981240.0,998825.3,47,2052.27,12,17.31,6,122814.23,2052.27,124883.81,10.12
